Grady - all ones,(10, 10),0.9,0.00060,0.00061,0.00010
Grady - total fill percentage,(10, 10),0.9,0.00074,0.00074,0.00011
Swap,(10, 10),0.9,0.00811,0.00629,0.00361
Trial Swap,(10, 10),0.9,0.00099,0.00098,0.00006
Curveball,(10, 10),0.9,0.00045,0.00043,0.00006
Cupy,(10, 10),0.9,0.00080,0.00080,0.00008
Grady - fill and shuffle,(100, 100),0.1,0.00602,0.00603,0.00023
Grady - min col or row,(100, 100),0.1,0.00570,0.00566,0.00024
Grady - max col or row,(100, 100),0.1,0.00597,0.00606,0.00020
Grady - all zeros,(100, 100),0.1,0.00624,0.00621,0.00038
Grady - all ones,(100, 100),0.1,0.00593,0.00588,0.00026
Grady - total fill percentage,(100, 100),0.1,0.00613,0.00612,0.00027
Swap,(100, 100),0.1,0.06486,0.06311,0.00482
Trial Swap,(100, 100),0.1,0.81602,0.81722,0.02500
Curveball,(100, 100),0.1,0.00958,0.00957,0.00023
Cupy,(100, 100),0.1,0.00570,0.00587,0.00049
Grady - fill and shuffle,(100, 100),0.2,0.00651,0.00654,0.00031
Grady - min col or row,(100, 100),0.2,0.00622,0.00612,0.00031
Grady - max col or row,(100, 100),0.2,0.00658,0.00651,0.00029
Grady - all zeros,(100, 100),0.2,0.00712,0.00698,0.00043
Grady - all ones,(100, 100),0.2,0.00633,0.00629,0.00024
Grady - total fill percentage,(100, 100),0.2,0.00695,0.00702,0.00042
Swap,(100, 100),0.2,0.04512,0.04502,0.00223
Trial Swap,(100, 100),0.2,0.44726,0.44809,0.00884
Curveball,(100, 100),0.2,0.01432,0.01431,0.00020
Cupy,(100, 100),0.2,0.00609,0.00607,0.00042
Grady - fill and shuffle,(100, 100),0.3,0.00672,0.00671,0.00014
Grady - min col or row,(100, 100),0.3,0.00674,0.00678,0.00030
Grady - max col or row,(100, 100),0.3,0.00693,0.00694,0.00021
Grady - all zeros,(100, 100),0.3,0.00821,0.00791,0.00070
Grady - all ones,(100, 100),0.3,0.00651,0.00651,0.00023
Grady - total fill percentage,(100, 100),0.3,0.00714,0.00715,0.00050
Swap,(100, 100),0.3,0.04132,0.04140,0.00179
Trial Swap,(100, 100),0.3,0.31938,0.31961,0.00366
Curveball,(100, 100),0.3,0.01800,0.01800,0.00010
Cupy,(100, 100),0.3,0.00638,0.00629,0.00036
Grady - fill and shuffle,(100, 100),0.4,0.00670,0.00671,0.00020
Grady - min col or row,(100, 100),0.4,0.00678,0.00681,0.00033
Grady - max col or row,(100, 100),0.4,0.00705,0.00711,0.00020
Grady - all zeros,(100, 100),0.4,0.00930,0.00934,0.00054
Grady - all ones,(100, 100),0.4,0.00705,0.00653,0.00153
Grady - total fill percentage,(100, 100),0.4,0.00725,0.00703,0.00046
Swap,(100, 100),0.4,0.04375,0.04375,0.00139
Trial Swap,(100, 100),0.4,0.24932,0.24846,0.00289
Curveball,(100, 100),0.4,0.02073,0.02068,0.00016
Cupy,(100, 100),0.4,0.00650,0.00650,0.00033
Grady - fill and shuffle,(100, 100),0.5,0.00679,0.00676,0.00025
Grady - min col or row,(100, 100),0.5,0.00729,0.00742,0.00062
Grady - max col or row,(100, 100),0.5,0.00722,0.00711,0.00033
